gid,pid,detail,off,def,type,qb,trg,bc,qtr,los,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,comp,ints,box,avt,pru,spru,blz,dblz,ttsk,pap,side,high,oop,shov,scre,qbp,qbhi,qbhu,htm,tay,dot,dotr,cov,cnb,crr,yac,yaco,mbt,drp,intw,back,defpr1,defpr2,defhi,defhu1,defhu2
5064,830332,(11:53) (Shotgun) B.Mayfield pass short left to O.Beckham Jr. to CLE 37 for 12 yards (K.Vaccaro).,CLE,TEN,PASS,BM-0650,OB-0075,,3,CLE 25,1,10,25,2,12,1,1,1,0,1,0,6,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,11,1,0,0,1,1,0,0,0,0,1,,,,,
5064,830333,(11:23) N.Chubb up the middle to TEN 48 for 15 yards (H.Landry).,CLE,TEN,RUSH,NC-0175,,NC-0175,3,CLE 37,1,10,37,2,15,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,,,,,
5064,830334,(10:46) (Shotgun) N.Chubb up the middle to TEN 45 for 3 yards (D.Jones).,CLE,TEN,RUSH,NC-0175,,NC-0175,3,TEN 48,1,10,52,3,3,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,,,,,
5064,830336,(9:47) (Shotgun) B.Mayfield pass short left to N.Chubb to CLE 44 for -1 yards (K.Vaccaro).,CLE,TEN,PASS,BM-0650,NC-0175,,3,CLE 45,2,17,45,3,-1,0,0,1,0,1,0,6,2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,-1,2,0,0,1,0,0,0,0,0,1,,,,,
5064,830337,(9:10) (Shotgun) B.Mayfield pass short middle to D.Johnson to TEN 45 for 11 yards (K.Vaccaro; J.Casey).,CLE,TEN,PASS,BM-0650,DJ-0887,,3,CLE 44,3,18,44,3,11,0,0,1,0,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,3,1,0,0,0,8,2,1,0,0,0,CW-0100,,,,
5064,830339,(8:23) D.Henry right guard to TEN 8 for 2 yards (S.Richardson).,TEN,CLE,RUSH,DH-2450,,DH-2450,3,TEN 6,1,10,6,1,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,,,,,
5064,830340,(7:43) (Shotgun) M.Mariota left end to TEN 14 for 6 yards (M.Garrett).,TEN,CLE,RUSH,MM-0912,,MM-0912,3,TEN 8,2,8,8,1,6,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,,,,,
5064,830341,(7:00) (Shotgun) M.Mariota pass short left to D.Lewis to TEN 12 for -2 yards (C.Kirksey).,TEN,CLE,PASS,MM-0912,DL-1700,,3,TEN 14,3,2,14,1,-2,0,0,1,0,1,0,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,1,0,0,0,0,0,0,0,0,0,,,,,
5064,830346,(5:25) (Shotgun) N.Chubb up the middle to CLE 26 for 2 yards (D.Jones; K.Correa).,CLE,TEN,RUSH,NC-0175,,NC-0175,3,CLE 24,1,25,24,2,2,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,
5064,830347,(4:49) (Shotgun) B.Mayfield pass short right to D.Njoku to CLE 33 for 7 yards (L.Ryan).,CLE,TEN,PASS,BM-0650,DN-1225,,3,CLE 26,2,23,26,2,7,0,0,1,0,1,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,2,0,0,0,1,1,0,0,0,0,,,,,
5064,830348,(4:12) (Shotgun) B.Mayfield pass deep middle to J.Landry pushed ob at TEN 44 for 23 yards (K.Vaccaro).,CLE,TEN,PASS,BM-0650,JL-0215,,3,CLE 33,3,16,33,2,23,1,1,1,0,1,0,6,5,4,0,1,1,0,0,0,0,1,0,0,1,0,1,0,27,16,2,0,0,0,7,7,1,0,0,0,HL-0050,,,HL-0050,
5064,830349,(3:32) B.Mayfield pass short left to N.Chubb pushed ob at TEN 37 for 7 yards (A.Johnson).,CLE,TEN,PASS,BM-0650,NC-0175,,3,TEN 44,1,10,56,3,7,1,0,0,0,1,0,7,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,11,-1,1,0,0,0,8,8,2,0,0,1,,,,,
5064,830350,"(2:58) (No Huddle, Shotgun) B.Mayfield pass deep right to J.Landry to TEN 3 for 34 yards (L.Ryan).",CLE,TEN,PASS,BM-0650,JL-0215,,3,TEN 37,2,3,63,4,34,1,1,1,1,1,0,5,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39,30,5,1,1,0,4,2,0,0,0,0,,,,,
5064,830351,"(2:13) (No Huddle, Shotgun) B.Mayfield pass short middle to D.Njoku for 3 yards, TOUCHDOWN.",CLE,TEN,PASS,BM-0650,DN-1225,,3,TEN 3,1,3,97,5,3,1,1,1,1,1,0,6,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,3,4,1,1,0,0,0,0,0,0,0,,,,,
5064,830354,"(2:10) M.Mariota pass short left to D.Henry for 75 yards, TOUCHDOWN. The Replay Official reviewed the play for possible offensive pass interference, and the play was Upheld.",TEN,CLE,PASS,MM-0912,DH-2450,,3,TEN 25,1,10,25,2,75,1,1,0,0,1,0,7,1,4,0,1,1,0,1,0,0,1,0,1,1,0,0,0,7,-4,1,0,0,0,79,0,0,0,0,1,JW-2675,,,,
5064,830357,(1:57) (Shotgun) N.Chubb left guard to CLE 33 for 8 yards (K.Vaccaro).,CLE,TEN,RUSH,NC-0175,,NC-0175,3,CLE 25,1,10,25,2,8,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,,,,,
5064,830358,"(1:30) (No Huddle, Shotgun) B.Mayfield pass short left to N.Chubb to CLE 37 for 4 yards (K.Vaccaro).",CLE,TEN,PASS,BM-0650,NC-0175,,3,CLE 33,2,2,33,2,4,1,1,1,1,1,0,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,0,0,0,1,0,0,0,0,0,,,,,
5064,830359,"(:58) (No Huddle, Shotgun) N.Chubb up the middle to CLE 39 for 2 yards (S.Finch).",CLE,TEN,RUSH,NC-0175,,NC-0175,3,CLE 37,1,10,37,2,2,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,,,,,
5064,830360,"(:24) (No Huddle, Shotgun) B.Mayfield pass short right to D.Ratley to CLE 49 for 10 yards (K.Byard).",CLE,TEN,PASS,BM-0650,DR-0550,,3,CLE 39,2,8,39,2,10,1,1,1,1,1,0,7,3,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,10,1,0,0,0,0,0,0,0,0,1,,,,,
5064,830362,(14:54) (Shotgun) N.Chubb up the middle to CLE 45 for 6 yards (J.Brown).,CLE,TEN,RUSH,NC-0175,,NC-0175,4,CLE 39,1,20,39,2,6,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,,
5064,830363,(14:21) (Shotgun) B.Mayfield pass deep right intended for O.Beckham Jr. INTERCEPTED by K.Byard at TEN 37. K.Byard to CLE 35 for 28 yards (J.Tretter).,CLE,TEN,PASS,BM-0650,OB-0075,,4,CLE 45,2,14,45,3,,0,0,1,0,0,1,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,20,3,2,0,0,0,0,0,0,1,1,,,,,
5064,830364,(14:11) D.Henry left guard to CLE 31 for 4 yards (J.Schobert).,TEN,CLE,RUSH,DH-2450,,DH-2450,4,CLE 35,1,10,65,4,4,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,,,,,
5064,830365,(13:33) D.Henry left end pushed ob at CLE 29 for 2 yards (S.Richardson).,TEN,CLE,RUSH,DH-2450,,DH-2450,4,CLE 31,2,6,69,4,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,,,,,
5064,830366,"(13:05) (Shotgun) M.Mariota scrambles left end pushed ob at CLE 16 for 13 yards (J.Schobert). PENALTY on CLE-D.Ward, Defensive Holding, 5 yards, enforced at CLE 16.",TEN,CLE,RUSH,MM-0912,,MM-0912,4,CLE 29,3,4,71,4,13,1,1,1,0,0,0,7,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
5064,830367,"(12:39) M.Mariota pass short left to D.Walker for 11 yards, TOUCHDOWN.",TEN,CLE,PASS,MM-0912,DW-0500,,4,CLE 11,1,10,89,5,11,1,1,0,0,1,0,8,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,8,2,0,0,0,3,0,0,0,0,1,,,,,
5064,830370,(12:32) (Shotgun) N.Chubb right end to CLE 31 for 6 yards (S.Finch).,CLE,TEN,RUSH,NC-0175,,NC-0175,4,CLE 25,1,10,25,2,6,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,,,,,
